"ID","sex","age","edu","tenure","C","N","ch_str","hi_str","WE","posi_jc","nega_jc","JC1","JC2","JC3","JC4","JC5","JC6","JC7","JC8","JC9","JC10","JC11","JC12","JC13","JC14","JC15","JC16","JC17","JC18","JC19","JC20","JC21","mc_c","mc_n","mc_ch","mc_hi","mc_enga"
168,2,44,2,58,3.5,2.66666666666667,3.16666666666667,1.8,3.22222222222222,3.53333333333333,3.25,4,4,4,4,3,3,3,4,3,3,3,3,3,4,4,4,3,3,3,4,3,-0.372282608695652,-0.114130434782609,-0.520833333333333,-0.719565217391304,-0.695652173913043
172,1,36,3,36,3.66666666666667,2.66666666666667,3.83333333333333,3.6,3.44444444444444,3.8,3.75,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,-0.205615942028986,-0.114130434782609,0.145833333333333,1.0804347826087,-0.473429951690821
179,1,38,3,36,5,1.83333333333333,4.16666666666667,1.2,5,4.2,2.25,5,5,5,5,5,2,1,2,2,3,2,3,3,2,3,3,5,5,5,5,4,1.12771739130435,-0.947463768115942,0.479166666666667,-1.3195652173913,1.08212560386473
180,1,35,1,12,4.33333333333333,2.83333333333333,4.66666666666667,2.6,4.33333333333333,4.4,3,5,5,4,5,3,4,4,3,3,3,3,4,4,5,5,4,5,4,4,5,4,0.461050724637681,0.0525362318840581,0.979166666666667,0.080434782608696,0.415458937198067
197,1,36,2,55,3.66666666666667,3.83333333333333,4,3.8,3.88888888888889,3.6,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,-0.205615942028986,1.05253623188406,0.3125,1.2804347826087,-0.0289855072463769
204,1,57,2,185,4.16666666666667,3.16666666666667,3,2,4.11111111111111,3.33333333333333,2.5,3,3,3,4,4,3,3,2,2,3,3,3,3,3,3,2,4,4,4,4,3,0.294384057971015,0.385869565217391,-0.6875,-0.519565217391304,0.193236714975845
209,1,46,3,30,3.66666666666667,2.33333333333333,2.83333333333333,2.2,4.33333333333333,3.6,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,-0.205615942028986,-0.447463768115942,-0.854166666666667,-0.319565217391304,0.415458937198067
249,2,36,3,43,3.66666666666667,3.16666666666667,3.16666666666667,2.6,3.88888888888889,3.86666666666667,3.25,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,5,4,3,4,4,4,-0.205615942028986,0.385869565217391,-0.520833333333333,0.080434782608696,-0.0289855072463769
286,1,44,3,55,4.33333333333333,2,4.5,1.8,4.44444444444444,4.4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,0.461050724637681,-0.780797101449275,0.8125,-0.719565217391304,0.526570048309178
287,1,41,2,45,4.16666666666667,3,3.33333333333333,2,4,4,3.25,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,0.294384057971015,0.219202898550725,-0.354166666666667,-0.519565217391304,0.0821256038647342
19,1,33,3,48,5,1.66666666666667,4,1.4,5,5,2,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,1.12771739130435,-1.11413043478261,0.3125,-1.1195652173913,1.08212560386473
44,1,45,3,109,3.83333333333333,2.66666666666667,4.33333333333333,2.8,3.44444444444444,3.6,3,4,3,3,4,4,3,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,-0.0389492753623188,-0.114130434782609,0.645833333333333,0.280434782608696,-0.473429951690821
57,1,34,1,28,4,2.66666666666667,3.5,2,3.88888888888889,3.86666666666667,2,4,4,4,4,4,4,2,1,1,3,3,4,4,4,4,4,3,4,3,5,3,0.127717391304348,-0.114130434782609,-0.1875,-0.519565217391304,-0.0289855072463769
73,1,40,2,18,3.66666666666667,2.16666666666667,3.5,2,4.22222222222222,3.73333333333333,3.25,4,4,4,5,4,4,4,4,3,4,2,3,3,3,3,4,4,3,4,4,4,-0.205615942028986,-0.614130434782609,-0.1875,-0.519565217391304,0.304347826086956
127,1,42,1,13,4.33333333333333,2.16666666666667,3.33333333333333,1.8,4.33333333333333,4.06666666666667,2,4,5,4,5,5,4,4,2,2,2,2,4,2,4,3,4,4,4,4,5,4,0.461050724637681,-0.614130434782609,-0.354166666666667,-0.719565217391304,0.415458937198067
